Competences,Experience,Formation,Score
Cybersecurity; Networking; Linux,1 an UI designer,Master Génie Logiciel,0.77
Machine Learning; NLP; Python,3 ans développeur web,Master Informatique,0.67
Photoshop; UI/UX; Figma,3 ans UI designer,Master Génie Logiciel,0.8
PHP; Symfony; MySQL,1 an UI designer,Master Data Science,0.64
Java; Spring Boot; Hibernate,3 ans développeur mobile,Master Développement Web,0.91
Kotlin; Android; Firebase,3 ans analyste de données,Master Jeux Vidéo,0.79
Cybersecurity; Networking; Linux,3 ans développeur mobile,Licence Informatique,0.84
Java; Spring Boot; Hibernate,3 ans ingénieur logiciel,Licence Informatique,0.88
Ruby; Rails; PostgreSQL,3 ans ingénieur logiciel,Master Génie Logiciel,0.84
JavaScript; Vue.js; Node.js,3 ans UI designer,Master Génie Logiciel,0.71
JavaScript; Vue.js; Node.js,1 an analyste de données,Doctorat Informatique,0.89
.NET; C#; Azure,2 ans développeur mobile,Master Génie Logiciel,0.86
